Timestamp_ms,TargetRPM,RealRPM,Current_mA,Kp,Ki,Kd,PWM,Mode
1738372,29.0,29.3,50.3,2.43,0.712,0.415,131,1
1738472,29.0,29.3,47.7,2.38,0.695,0.412,129,1
1738572,29.0,29.2,46.8,2.36,0.690,0.410,128,1
1738672,29.0,29.1,47.7,2.38,0.695,0.411,129,1
1738772,29.0,29.0,48.5,2.39,0.700,0.412,130,1
1738872,29.0,28.9,50.5,2.43,0.712,0.413,133,1
1738972,29.0,28.8,49.7,2.41,0.707,0.412,132,1
1739072,29.0,28.7,49.8,2.41,0.707,0.412,132,1
1739172,29.0,28.6,54.1,2.50,0.733,0.417,137,1
1739272,29.0,28.5,52.4,2.46,0.722,0.414,136,1
1739372,29.0,28.5,49.0,2.40,0.701,0.410,131,1
1739472,29.0,28.5,47.4,2.37,0.691,0.408,130,1
1739572,29.0,28.4,48.8,2.39,0.700,0.410,132,1
1739672,29.0,28.3,47.8,2.38,0.693,0.408,131,1
1739772,29.0,28.3,45.5,2.33,0.679,0.406,128,1
1739872,29.0,28.2,45.8,2.34,0.680,0.406,129,1
1739972,29.0,28.1,44.4,2.31,0.671,0.404,127,1
1740072,29.0,28.0,47.4,2.37,0.689,0.407,131,1
1740172,29.0,27.9,47.4,2.37,0.689,0.406,131,1
1740272,29.0,27.8,47.4,2.36,0.689,0.406,131,1
1740372,29.0,27.8,48.3,2.38,0.694,0.407,132,1
1740472,29.0,27.7,48.1,2.38,0.693,0.407,133,1
1740572,29.0,27.7,51.8,2.44,0.716,0.410,137,1
1740672,29.0,27.6,56.1,2.53,0.743,0.416,142,1
1740772,29.0,27.6,56.6,2.54,0.745,0.416,143,1
1740872,29.0,27.7,53.6,2.48,0.727,0.413,139,1
1740972,29.0,27.7,50.9,2.43,0.710,0.410,136,1
1741072,29.0,27.8,50.0,2.41,0.705,0.409,135,1
1741172,29.0,27.8,57.4,2.56,0.751,0.418,144,1
1741272,29.0,27.9,55.1,2.51,0.737,0.415,141,1
1741372,29.0,27.9,51.3,2.44,0.714,0.411,136,1
1741472,29.0,28.0,51.3,2.44,0.714,0.411,136,1
1741572,29.0,28.1,48.9,2.39,0.699,0.409,133,1
1741672,29.0,28.1,46.5,2.35,0.684,0.406,131,1
1741772,29.0,28.1,49.5,2.40,0.703,0.409,134,1
1741872,29.0,28.1,57.5,2.56,0.752,0.419,144,1
1741972,29.0,28.1,58.5,2.58,0.759,0.420,145,1
1742072,29.0,28.1,60.5,2.63,0.771,0.423,147,1
1742172,29.0,28.2,56.8,2.55,0.749,0.419,143,1
1742272,29.0,28.3,60.1,2.62,0.770,0.423,147,1
1742372,29.0,28.4,54.7,2.51,0.737,0.417,140,1
1742472,29.0,28.6,57.4,2.56,0.753,0.420,143,1
1742572,29.0,28.6,57.6,2.57,0.755,0.421,143,1
1742672,29.0,28.7,59.4,2.61,0.766,0.424,145,1
1742772,29.0,28.8,63.1,2.69,0.790,0.429,149,1
1742872,29.0,28.9,66.3,2.75,0.810,0.433,152,1
